id,brand,name,image,release_date,resolution,weight,os,chipset,memory,ram,main_camera_1,main_camera_2,main_camera_3,selfie_camera,earphone_jack,battery,charging,colors,nfc,price
1,Oppo,Oppo Reno 11 Pro,https://image.oppo.com/content/dam/oppo/common/mkt/v2-2/reno11-pro-5g-en/specs/reno11-pro-860-720.png,18/01/2023,1080x2412,181,Android 14,Mediatek Dimensity 8200,512,12,50,32,8,32,TRUE,4600,80,Pearl White; Rock Grey,TRUE,8999000
2,Oppo,Oppo Reno 11,https://image.oppo.com/content/dam/oppo/common/mkt/v2-2/reno11-5g-en/specs/reno11-860-720.png,25/01/2024,1080x2412,182,Android 14,Mediatek Dimensity 7050,256,12,50,32,8,32,FALSE,5000,67,Wave Green; Rock Grey,TRUE,5999000
3,Oppo,Oppo Reno 11F,https://fdn2.gsmarena.com/vv/bigpic/oppo-reno11-f-5g.jpg,8/2/2024,1080x2412,177,Android 14,Mediatek Dimensity 7050,256,8,64,8,2,32,FALSE,5000,67,Palm Green; Ocean Blue; Coral Purple,TRUE,4499000
4,Oppo,Oppo Reno 10,https://image.oppo.com/content/dam/oppo/common/mkt/v2-2/reno10-5g-en/specs/reno10-5g-860_720.png,15/07/2023,1080x2412,185,Android 13,Mediatek Dimensity 7050,256,8,64,32,8,32,FALSE,5000,67,Silvery Grey; Ice Blue,TRUE,5499000
5,Oppo,Oppo Reno 10 Pro,https://fdn2.gsmarena.com/vv/bigpic/oppo-reno10-pro-international.jpg,8/7/2023,1080x2412,185,Android 13,Qualcomm SM7325 Snapdragon 778G 5G,256,12,50,32,8,32,FALSE,4600,80,Silvery Grey; Glossy Purple,TRUE,8499000
6,Oppo,Oppo Reno 10 Pro+,https://fdn2.gsmarena.com/vv/bigpic/oppo-reno10-pro-plus.jpg,24/05/2023,1240x2772,194,Android 13,Qualcomm SM8475 Snapdragon 8+ Gen 1,512,16,50,64,8,32,FALSE,4700,100,Silvery Grey; Glossy Purple; Gold,TRUE,10499000
7,Oppo,Oppo Find X7 Ultra,https://fdn2.gsmarena.com/vv/bigpic/oppo-find-x7-ultra.jpg,1/12/2024,1440x3168,221,Android 14,Qualcomm SM8650-AB Snapdragon 8 Gen 3,512,16,50,48,12,32,FALSE,5000,100,Black; Dark Blue; Light Brown,TRUE,19999000
8,Oppo,Oppo Find X7,https://fdn2.gsmarena.com/vv/bigpic/oppo-find-x7.jpg,12/1/2024,1264x2780,206,Android 14,Mediatek Dimensity 9300,256,16,50,64,50,32,FALSE,5000,100,Black; Dark Blue; Light Brown; Purple,TRUE,17999000
9,Oppo,Oppo A98 5G,https://fdn2.gsmarena.com/vv/bigpic/oppo-a98-5g.jpg,19/05/2023,1080x2400,192,Android 13,Qualcomm SM6375 Snapdragon 695 5G,256,8,64,2,2,32,TRUE,5000,67,Cool Black; Dreamy Blue,TRUE,3469000
10,Oppo,Oppo A60,https://fdn2.gsmarena.com/vv/bigpic/oppo-a60.jpg,26/04/2024,720x1604,186,Android 14,Qualcomm SM6225 Snapdragon 680 4G,256,8,50,2,,8,TRUE,5000,45,Purple; Blue,FALSE,2999000
11,Oppo,Oppo Find N3,https://fdn2.gsmarena.com/vv/bigpic/oppo-find-n3.jpg,27/10/2023,2268x2440,239,Android 13,Qualcomm SM8550-AB Snapdragon 8 Gen 2,1024,16,48,64,48,32,FALSE,4805,67,Black; Green; Gold; Red,TRUE,25838000
12,Oppo,Oppo A79,https://fdn2.gsmarena.com/vv/bigpic/oppo-a79-5g.jpg,28/10/2023,1080x2400,193,Android 13,Mediatek Dimensity 6020,256,8,50,2,,8,TRUE,5000,33,Mystery Black; Glowing Green; Dazzling Purple,FALSE,3376000
